Year;Month;Anomaly Monthly TAVG;Unc. Monthly TAVG;Anomaly Annual TAVG;Unc. Annual TAVG;Anomaly Five-year TAVG;Unc. Five-year TAVG;Anomaly Ten-year TAVG;Unc. Ten-year TAVG;Anomaly Twenty-year TAVG;Unc. Twenty-year TAVG
1815;1;-0.644;1.765;-0.785;1.510;-1.164;0.505;-1.249;0.652;-0.940;0.530
1815;2;-0.879;4.355;-0.742;1.673;-1.199;0.490;-1.249;0.643;-0.940;0.531
1815;3;-1.533;2.186;-0.691;1.556;-1.233;0.495;-1.254;0.628;-0.944;0.533
1815;4;-1.672;1.981;-0.712;1.312;-1.257;0.480;-1.233;0.623;-0.942;0.536
1815;5;-1.399;1.952;-0.946;0.847;-1.253;0.482;-1.214;0.621;-0.942;0.537
1815;6;-2.385;1.257;-1.361;0.666;-1.265;0.492;-1.200;0.619;-0.944;0.539
1815;7;-0.084;1.686;-1.286;0.661;-1.211;0.501;-1.191;0.617;-0.948;0.539
1815;8;-0.651;1.728;-1.521;0.661;-1.224;0.492;-1.191;0.613;-0.956;0.539
1815;9;-0.938;1.075;-1.509;0.715;-1.157;0.501;-1.178;0.618;-0.960;0.539
1815;10;-1.902;1.856;-1.433;0.753;-1.122;0.551;-1.175;0.618;-0.957;0.541
1815;11;-1.960;2.996;-1.369;0.769;-1.118;0.595;-1.172;0.611;-0.952;0.539
1815;12;-2.273;1.979;-1.324;0.841;-1.099;0.633;-1.182;0.603;-0.958;0.543
1816;1;0.249;2.059;-1.508;0.941;-1.110;0.648;-1.165;0.594;-0.963;0.541
1816;2;-3.698;2.672;-1.563;1.064;-1.108;0.659;-1.134;0.580;-0.968;0.542
1816;3;-1.387;2.722;-1.635;1.041;-1.141;0.678;-1.123;0.575;-0.969;0.542
1816;4;-0.755;0.991;-1.791;1.106;-1.171;0.653;-1.110;0.571;-0.968;0.543
1816;5;-0.637;1.202;-1.781;1.070;-1.186;0.675;-1.099;0.571;-0.967;0.544
1816;6;-1.846;1.497;-1.720;0.995;-1.178;0.650;-1.102;0.571;-0.963;0.542
1816;7;-2.293;1.219;-1.802;1.078;-1.185;0.619;-1.095;0.565;-0.960;0.540
1816;8;-1.303;1.012;-1.417;0.771;-1.178;0.608;-1.100;0.565;-0.965;0.539
1816;9;-1.808;1.042;-1.310;0.602;-1.178;0.550;-1.103;0.569;-0.971;0.537
1816;10;-3.771;2.579;-1.244;0.590;-1.183;0.545;-1.095;0.560;-0.971;0.536
1816;11;-1.836;2.544;-1.337;0.604;-1.163;0.570;-1.082;0.549;-0.965;0.536
1816;12;-1.544;1.534;-1.385;0.566;-1.164;0.564;-1.092;0.550;-0.962;0.537
1817;1;-0.742;2.254;-1.380;0.590;-1.155;0.567;-1.084;0.526;-0.952;0.535
1817;2;0.927;4.067;-1.325;0.592;-1.157;0.572;-1.051;0.518;-0.951;0.540
1817;3;-0.107;2.295;-1.487;0.601;-1.145;0.562;-1.008;0.518;-0.946;0.543
1817;4;0.046;1.357;-1.411;0.540;-1.128;0.556;-1.000;0.517;-0.937;0.545
1817;5;-1.760;0.955;-1.352;0.546;-1.156;0.523;-0.990;0.517;-0.926;0.544
1817;6;-2.425;0.759;-1.455;0.551;-1.232;0.499;-0.979;0.515;-0.925;0.545
1817;7;-2.225;1.583;-1.440;0.594;-1.262;0.539;-0.984;0.510;-0.923;0.540
1817;8;-0.647;0.813;-1.658;0.539;-1.259;0.500;-1.002;0.506;-0.922;0.537
1817;9;-3.751;1.360;-1.571;0.525;-1.244;0.505;-1.001;0.517;-0.928;0.537
1817;10;-2.862;1.353;-1.411;0.628;-1.198;0.491;-1.001;0.515;-0.929;0.535
1817;11;-1.127;1.617;-1.230;0.849;-1.170;0.483;-1.003;0.509;-0.930;0.536
1817;12;-2.778;1.588;-0.967;1.158;-1.132;0.481;-1.008;0.517;-0.936;0.537
1818;1;-0.562;1.618;-0.846;1.377;-1.142;0.477;-0.983;0.521;-0.938;0.538
1818;2;-1.691;1.724;-0.852;1.523;-1.157;0.464;-0.983;0.515;-0.940;0.537
1818;3;0.943;2.204;-0.693;1.663;-1.154;0.480;-0.961;0.513;-0.935;0.535
1818;4;1.964;1.464;-0.652;1.653;-1.151;0.498;-0.966;0.511;-0.929;0.534
1818;5;0.412;3.591;-0.567;1.745;-1.144;0.515;-0.974;0.517;-0.921;0.528
1818;6;0.726;4.632;-0.402;1.773;-1.139;0.521;-0.971;0.513;-0.918;0.527
1818;7;-0.769;1.916;-0.459;1.624;-1.137;0.517;-0.970;0.511;-0.918;0.525
1818;8;-0.724;1.855;-0.398;1.676;-1.061;0.512;-0.971;0.508;-0.916;0.520
1818;9;-1.836;1.319;-0.693;1.219;-1.036;0.524;-0.985;0.518;-0.923;0.518
1818;10;-2.377;1.545;-0.979;0.855;-1.031;0.520;-0.993;0.517;-0.922;0.516
1818;11;-0.105;2.579;-1.083;0.722;-1.023;0.518;-1.012;0.516;-0.917;0.512
1818;12;-0.793;1.461;-1.210;0.579;-1.013;0.534;-1.012;0.507;-0.914;0.508
1819;1;-1.253;2.291;-1.256;0.565;-0.997;0.534;-1.002;0.503;-0.908;0.504
1819;2;-0.961;2.044;-1.301;0.589;-0.991;0.542;-0.994;0.499;-0.906;0.503
1819;3;-2.588;4.331;-1.217;0.610;-0.996;0.547;-0.973;0.493;-0.900;0.502
1819;4;-1.468;1.080;-1.072;0.593;-0.951;0.577;-0.962;0.490;-0.900;0.501
1819;5;-0.837;1.488;-1.132;0.578;-0.935;0.586;-0.946;0.499;-0.893;0.502
1819;6;-0.801;1.427;-1.224;0.609;-0.926;0.582;-0.941;0.494;-0.894;0.501
1819;7;-1.321;1.123;-1.321;0.779;-0.918;0.598;-0.925;0.490;-0.888;0.501
1819;8;-1.258;0.929;-1.299;0.804;-0.917;0.551;-0.922;0.492;-0.887;0.499
1819;9;-0.831;0.986;-1.137;0.996;-0.879;0.528;-0.915;0.489;-0.889;0.499
1819;10;-0.638;1.935;-0.924;0.981;-0.885;0.532;-0.912;0.479;-0.889;0.495
1819;11;-0.828;1.778;-0.832;0.948;-0.865;0.542;-0.925;0.453;-0.882;0.491
1819;12;-1.887;1.778;-0.775;0.932;-0.831;0.547;-0.940;0.434;-0.881;0.483
1820;1;-2.426;4.101;-0.717;0.914;-0.803;0.568;-0.933;0.437;-0.871;0.481
1820;2;-0.691;1.933;-0.746;0.917;-0.804;0.574;-0.928;0.419;-0.864;0.478
1820;3;-0.642;1.843;-0.740;1.003;-0.769;0.590;-0.918;0.428;-0.867;0.476
1820;4;1.088;0.968;-0.831;0.936;-0.745;0.606;-0.899;0.425;-0.859;0.475
1820;5;0.258;1.308;-0.885;0.817;-0.752;0.593;-0.890;0.420;-0.856;0.472
1820;6;-0.112;0.867;-0.895;0.743;-0.751;0.598;-0.870;0.418;-0.851;0.471
1820;7;-0.629;1.053;-0.662;0.546;-0.755;0.593;-0.877;0.412;-0.842;0.470
1820;8;-1.598;0.915;-0.534;0.517;-0.743;0.596;-0.879;0.404;-0.838;0.469
1820;9;-0.761;1.498;-0.469;0.539;-0.766;0.577;-0.881;0.407;-0.835;0.471
1820;10;-1.731;1.158;-0.597;0.566;-0.811;0.512;-0.874;0.413;-0.830;0.471
1820;11;-1.482;1.239;-0.630;0.525;-0.830;0.483;-0.861;0.422;-0.817;0.470
1820;12;-2.000;1.439;-0.729;0.518;-0.842;0.443;-0.847;0.424;-0.809;0.468
1821;1;0.362;2.077;-0.787;0.529;-0.830;0.428;-0.854;0.424;-0.803;0.467
1821;2;0.852;2.757;-0.734;0.552;-0.833;0.419;-0.836;0.435;-0.794;0.466
1821;3;0.134;1.451;-0.843;0.559;-0.829;0.421;-0.830;0.446;-0.792;0.465
1821;4;-0.446;1.176;-0.789;0.538;-0.816;0.435;-0.824;0.449;-0.785;0.466
1821;5;-0.145;1.046;-0.737;0.639;-0.838;0.419;-0.815;0.447;-0.781;0.465
1821;6;-1.289;1.202;-0.657;0.689;-0.845;0.420;-0.801;0.451;-0.778;0.461
1821;7;-1.328;1.478;-0.709;0.572;-0.819;0.435;-0.781;0.452;-0.773;0.459
1821;8;-0.962;0.746;-0.697;0.546;-0.810;0.440;-0.777;0.456;-0.778;0.460
1821;9;-2.070;0.954;-0.528;0.667;-0.767;0.482;-0.771;0.455;-0.779;0.461
1821;10;-1.082;0.967;-0.515;0.727;-0.741;0.480;-0.745;0.468;-0.776;0.454
1821;11;-0.864;2.083;-0.549;0.794;-0.728;0.474;-0.725;0.482;-0.772;0.455
1821;12;-1.040;1.161;-0.474;0.825;-0.717;0.468;-0.703;0.482;-0.779;0.456
1822;1;-0.253;1.521;-0.409;0.848;-0.695;0.460;-0.688;0.488;-0.775;0.445
1822;2;0.996;1.858;-0.390;0.816;-0.688;0.458;-0.692;0.471;-0.769;0.439
1822;3;2.155;2.663;-0.351;0.745;-0.685;0.461;-0.688;0.462;-0.759;0.438
1822;4;-0.291;2.090;-0.383;0.752;-0.696;0.450;-0.680;0.463;-0.755;0.433
1822;5;-0.555;1.155;-0.436;0.655;-0.694;0.434;-0.662;0.469;-0.751;0.432
1822;6;-0.382;0.945;-0.578;0.624;-0.647;0.431;-0.641;0.476;-0.748;0.432
1822;7;-0.552;1.123;-0.623;0.652;-0.603;0.410;-0.621;0.482;-0.750;0.431
1822;8;-0.729;0.968;-0.787;0.604;-0.597;0.415;-0.619;0.483;-0.763;0.430
1822;9;-1.610;1.863;-1.004;0.600;-0.593;0.432;-0.595;0.488;-0.763;0.438
1822;10;-1.458;0.887;-1.038;0.658;-0.600;0.441;-0.576;0.495;-0.760;0.438
1822;11;-1.507;1.394;-1.054;0.771;-0.610;0.439;-0.567;0.487;-0.762;0.434
1822;12;-2.735;1.219;-1.025;0.789;-0.607;0.443;-0.548;0.490;-0.764;0.438
1823;1;-0.794;1.412;-0.981;0.838;-0.613;0.433;-0.558;0.485;-0.749;0.442
1823;2;-0.970;1.367;-0.997;0.867;-0.601;0.430;-0.555;0.488;-0.747;0.440
1823;3;-0.457;1.890;-0.995;0.831;-0.608;0.424;-0.562;0.481;-0.738;0.438
1823;4;-0.696;1.290;-1.006;0.872;-0.597;0.414;-0.575;0.457;-0.740;0.437
1823;5;-0.747;1.717;-0.999;0.798;-0.578;0.421;-0.578;0.442;-0.743;0.441
1823;6;-0.031;1.050;-0.874;0.782;-0.555;0.422;-0.582;0.422;-0.743;0.440
1823;7;-0.032;0.770;-0.778;0.761;-0.572;0.413;-0.575;0.415;-0.746;0.439
1823;8;-0.917;1.077;-0.734;0.764;-0.611;0.420;-0.571;0.405;-0.745;0.437
1823;9;-1.583;1.362;-0.697;0.681;-0.623;0.430;-0.573;0.404;-0.750;0.441
1823;10;-1.591;1.398;-0.632;0.615;-0.618;0.440;-0.558;0.405;-0.753;0.440
1823;11;-1.423;1.253;-0.575;0.607;-0.607;0.442;-0.560;0.397;-0.754;0.438
1823;12;-1.235;1.521;-0.584;0.626;-0.588;0.446;-0.564;0.396;-0.750;0.433
1824;1;0.355;1.495;-0.581;0.663;-0.566;0.443;-0.560;0.404;-0.755;0.431
1824;2;-0.445;1.387;-0.575;0.668;-0.563;0.439;-0.565;0.412;-0.751;0.430
1824;3;-0.006;1.178;-0.496;0.677;-0.546;0.435;-0.547;0.431;-0.738;0.428
1824;4;0.081;1.734;-0.470;0.708;-0.539;0.435;-0.540;0.429;-0.735;0.426
1824;5;-0.056;1.491;-0.410;0.679;-0.514;0.446;-0.533;0.430;-0.726;0.429
1824;6;-0.143;1.570;-0.232;0.779;-0.479;0.451;-0.533;0.427;-0.726;0.428
1824;7;-0.001;1.083;-0.245;0.827;-0.458;0.460;-0.524;0.424;-0.719;0.427
1824;8;-0.838;0.791;-0.235;0.800;-0.467;0.461;-0.519;0.427;-0.717;0.430
1824;9;-0.634;0.909;-0.266;0.797;-0.496;0.454;-0.524;0.429;-0.713;0.429
1824;10;-1.278;0.853;-0.217;0.759;-0.475;0.453;-0.524;0.425;-0.709;0.426
1824;11;-0.707;1.084;-0.240;0.738;-0.459;0.460;-0.526;0.418;-0.711;0.414
1824;12;0.902;1.824;-0.225;0.720;-0.452;0.467;-0.518;0.409;-0.724;0.404
1825;1;0.193;1.876;-0.305;0.647;-0.440;0.462;-0.492;0.399;-0.719;0.405
1825;2;-0.324;1.447;-0.310;0.646;-0.433;0.463;-0.478;0.411;-0.716;0.398
1825;3;-0.375;1.183;-0.356;0.635;-0.421;0.468;-0.479;0.419;-0.713;0.402
1825;4;0.666;1.215;-0.338;0.613;-0.407;0.474;-0.485;0.421;-0.709;0.402
1825;5;-0.327;1.242;-0.309;0.616;-0.383;0.483;-0.497;0.418;-0.707;0.401
1825;6;0.033;1.324;-0.434;0.582;-0.346;0.489;-0.502;0.422;-0.703;0.400
1825;7;-0.956;0.892;-0.503;0.531;-0.362;0.482;-0.494;0.426;-0.709;0.399
1825;8;-0.899;1.226;-0.601;0.521;-0.368;0.481;-0.485;0.427;-0.713;0.396
1825;9;-1.194;0.984;-0.622;0.528;-0.357;0.488;-0.492;0.429;-0.718;0.397
1825;10;-1.062;1.082;-0.686;0.532;-0.340;0.502;-0.486;0.429;-0.716;0.399
1825;11;-0.356;0.964;-0.618;0.547;-0.326;0.503;-0.462;0.435;-0.716;0.405
1825;12;-0.594;1.199;-0.634;0.561;-0.321;0.499;-0.437;0.441;-0.715;0.409
1826;1;-0.638;1.399;-0.552;0.584;-0.319;0.503;-0.441;0.440;-0.718;0.411
1826;2;-1.498;1.591;-0.545;0.576;-0.309;0.504;-0.453;0.435;-0.705;0.415
1826;3;-0.627;1.218;-0.530;0.567;-0.316;0.506;-0.460;0.436;-0.699;0.419
1826;4;-0.104;1.740;-0.499;0.578;-0.299;0.516;-0.461;0.440;-0.701;0.421
1826;5;0.493;0.873;-0.417;0.601;-0.281;0.517;-0.462;0.440;-0.703;0.421
1826;6;-0.157;1.521;-0.278;0.623;-0.282;0.523;-0.455;0.437;-0.699;0.422
1826;7;0.020;1.121;-0.143;0.723;-0.301;0.522;-0.451;0.434;-0.694;0.424
1826;8;-0.808;0.940;0.024;0.759;-0.320;0.523;-0.456;0.435;-0.693;0.427
1826;9;-1.014;0.863;0.111;0.795;-0.328;0.519;-0.455;0.435;-0.691;0.425
1826;10;-0.691;0.887;0.201;0.787;-0.338;0.503;-0.457;0.430;-0.677;0.429
1826;11;0.623;1.161;0.192;0.857;-0.338;0.500;-0.463;0.438;-0.678;0.435
1826;12;1.076;1.697;0.208;0.871;-0.350;0.492;-0.465;0.434;-0.673;0.436
1827;1;0.983;2.510;0.222;0.879;-0.353;0.487;-0.467;0.434;-0.671;0.439
1827;2;0.509;1.550;0.260;0.876;-0.350;0.494;-0.486;0.427;-0.676;0.431
1827;3;0.413;1.394;0.272;0.880;-0.364;0.496;-0.509;0.419;-0.682;0.426
1827;4;0.972;1.544;0.277;0.938;-0.353;0.497;-0.510;0.413;-0.691;0.425
1827;5;0.389;1.731;0.223;0.925;-0.359;0.495;-0.512;0.414;-0.691;0.428
1827;6;0.035;1.739;0.090;0.864;-0.388;0.475;-0.516;0.412;-0.686;0.430
1827;7;0.189;1.108;-0.139;0.710;-0.381;0.472;-0.517;0.417;-0.681;0.433
1827;8;-0.357;1.299;-0.293;0.693;-0.359;0.484;-0.525;0.421;-0.682;0.436
1827;9;-0.869;1.409;-0.313;0.687;-0.366;0.481;-0.525;0.425;-0.672;0.438
1827;10;-0.631;1.283;-0.364;0.640;-0.371;0.478;-0.519;0.426;-0.666;0.442
1827;11;-0.028;1.138;-0.389;0.571;-0.384;0.478;-0.521;0.430;-0.668;0.441
1827;12;-0.515;1.436;-0.371;0.550;-0.397;0.479;-0.519;0.433;-0.661;0.442
1828;1;-1.770;1.555;-0.379;0.517;-0.375;0.498;-0.515;0.433;-0.672;0.444
1828;2;-1.330;1.534;-0.376;0.503;-0.369;0.499;-0.510;0.432;-0.671;0.447
1828;3;0.170;1.443;-0.472;0.509;-0.375;0.508;-0.515;0.427;-0.682;0.445
1828;4;0.362;1.121;-0.467;0.501;-0.375;0.519;-0.514;0.428;-0.694;0.433
1828;5;0.085;1.083;-0.493;0.510;-0.345;0.519;-0.513;0.427;-0.701;0.426
1828;6;0.251;1.145;-0.555;0.564;-0.319;0.526;-0.516;0.426;-0.707;0.414
1828;7;0.096;0.878;-0.476;0.602;-0.310;0.530;-0.522;0.429;-0.704;0.409
1828;8;-0.322;1.132;-0.496;0.611;-0.295;0.517;-0.520;0.430;-0.703;0.405
1828;9;-2.019;0.822;-0.550;0.581;-0.297;0.509;-0.515;0.431;-0.699;0.406
1828;10;-0.577;0.896;-0.626;0.566;-0.304;0.502;-0.512;0.435;-0.692;0.405
1828;11;-0.338;0.946;-0.638;0.578;-0.318;0.499;-0.495;0.434;-0.695;0.398
1828;12;-1.263;1.741;-0.726;0.572;-0.322;0.485;-0.488;0.433;-0.695;0.398
1829;1;-0.814;1.556;-0.750;0.549;-0.336;0.484;-0.508;0.433;-0.690;0.404
1829;2;-1.576;1.665;-0.780;0.560;-0.349;0.492;-0.508;0.433;-0.684;0.407
1829;3;-0.469;1.199;-0.732;0.566;-0.365;0.496;-0.504;0.431;-0.684;0.420
1829;4;-0.555;0.951;-0.738;0.565;-0.376;0.488;-0.507;0.430;-0.680;0.420
1829;5;-0.055;1.304;-0.796;0.534;-0.411;0.494;-0.507;0.428;-0.680;0.419
1829;6;-0.814;1.038;-0.763;0.502;-0.451;0.474;-0.511;0.427;-0.680;0.418
1829;7;-0.181;0.862;-0.643;0.498;-0.475;0.463;-0.514;0.428;-0.674;0.416
1829;8;-0.683;1.095;-0.431;0.517;-0.506;0.450;-0.512;0.430;-0.668;0.417
1829;9;-1.447;0.830;-0.456;0.514;-0.522;0.437;-0.512;0.431;-0.669;0.421
1829;10;-0.651;0.963;-0.378;0.549;-0.545;0.422;-0.507;0.432;-0.670;0.419
1829;11;-1.030;1.428;-0.467;0.536;-0.564;0.421;-0.497;0.433;-0.675;0.417
1829;12;-0.871;1.552;-0.461;0.577;-0.580;0.416;-0.508;0.431;-0.676;0.417
1830;1;0.632;1.940;-0.418;0.630;-0.595;0.426;-0.505;0.430;-0.664;0.408
1830;2;0.970;2.062;-0.404;0.635;-0.616;0.426;-0.503;0.431;-0.665;0.409
1830;3;-0.776;1.208;-0.415;0.686;-0.629;0.427;-0.508;0.430;-0.668;0.416
1830;4;0.388;1.081;-0.449;0.729;-0.630;0.432;-0.518;0.432;-0.675;0.416
1830;5;-1.130;1.107;-0.241;0.731;-0.660;0.435;-0.524;0.435;-0.676;0.414
1830;6;-0.735;1.348;-0.089;0.863;-0.692;0.447;-0.536;0.431;-0.677;0.412
1830;7;0.331;1.306;-0.149;0.884;-0.669;0.456;-0.541;0.435;-0.674;0.410
1830;8;-0.517;1.130;-0.281;0.872;-0.652;0.451;-0.547;0.436;-0.671;0.411
1830;9;-1.582;1.159;-0.279;0.912;-0.672;0.453;-0.554;0.436;-0.672;0.409
1830;10;-1.056;1.336;-0.355;0.913;-0.688;0.447;-0.557;0.433;-0.672;0.407
1830;11;1.467;1.280;-0.287;0.905;-0.700;0.440;-0.571;0.433;-0.674;0.409
1830;12;0.954;1.478;-0.261;0.812;-0.711;0.441;-0.584;0.434;-0.672;0.409
1831;1;-0.092;2.016;-0.358;0.805;-0.725;0.441;-0.582;0.437;-0.680;0.410
1831;2;-0.613;3.051;-0.448;0.779;-0.731;0.444;-0.574;0.436;-0.686;0.412
1831;3;-0.747;1.539;-0.477;0.769;-0.713;0.447;-0.568;0.433;-0.695;0.416
1831;4;-0.529;1.086;-0.502;0.729;-0.725;0.455;-0.577;0.434;-0.700;0.417
1831;5;-0.312;0.805;-0.747;0.761;-0.709;0.460;-0.591;0.435;-0.702;0.417
1831;6;-0.422;1.390;-0.936;0.729;-0.693;0.477;-0.598;0.432;-0.699;0.415
1831;7;-0.837;0.875;-0.966;0.724;-0.715;0.485;-0.606;0.431;-0.693;0.412
1831;8;-1.590;0.947;-1.030;0.596;-0.696;0.484;-0.609;0.434;-0.691;0.411
1831;9;-1.933;1.034;-1.013;0.558;-0.681;0.477;-0.611;0.432;-0.687;0.411
1831;10;-1.354;1.218;-1.004;0.560;-0.676;0.483;-0.609;0.428;-0.685;0.410
1831;11;-1.474;1.677;-1.041;0.592;-0.675;0.472;-0.631;0.427;-0.688;0.411
1831;12;-1.316;1.733;-1.079;0.630;-0.672;0.471;-0.644;0.427;-0.688;0.410
1832;1;-0.460;1.823;-1.068;0.666;-0.675;0.466;-0.653;0.427;-0.690;0.413
1832;2;-1.371;1.491;-1.073;0.667;-0.674;0.460;-0.661;0.427;-0.695;0.412
1832;3;-0.544;1.296;-1.050;0.674;-0.660;0.458;-0.676;0.424;-0.702;0.410
1832;4;-0.428;1.095;-0.993;0.686;-0.660;0.464;-0.702;0.421;-0.701;0.409
1832;5;-0.748;0.982;-1.024;0.611;-0.635;0.471;-0.720;0.421;-0.703;0.409
1832;6;-0.889;1.041;-1.119;0.615;-0.628;0.487;-0.731;0.420;-0.705;0.410
1832;7;-0.703;1.678;-1.109;0.641;-0.629;0.499;-0.742;0.418;-0.706;0.409
1832;8;-1.652;1.100;-1.021;0.630;-0.647;0.495;-0.745;0.418;-0.706;0.410
1832;9;-1.649;1.065;-1.065;0.641;-0.649;0.495;-0.748;0.416;-0.705;0.411
1832;10;-0.675;0.940;-1.078;0.655;-0.666;0.493;-0.756;0.418;-0.702;0.412
1832;11;-1.840;1.160;-1.067;0.628;-0.665;0.492;-0.770;0.425;-0.701;0.413
1832;12;-2.458;1.498;-1.028;0.651;-0.675;0.489;-0.775;0.427;-0.689;0.412
1833;1;-0.335;1.922;-1.029;0.587;-0.706;0.492;-0.785;0.435;-0.683;0.412
1833;2;-0.326;1.221;-0.950;0.563;-0.725;0.489;-0.786;0.435;-0.675;0.411
1833;3;-1.063;1.421;-0.890;0.535;-0.734;0.487;-0.802;0.440;-0.675;0.408
1833;4;-0.582;0.748;-0.942;0.558;-0.739;0.481;-0.813;0.439;-0.675;0.409
1833;5;-0.627;0.933;-0.736;0.555;-0.797;0.472;-0.825;0.438;-0.678;0.409
1833;6;-0.413;1.024;-0.560;0.547;-0.848;0.469;-0.833;0.435;-0.682;0.407
1833;7;-0.715;1.034;-0.710;0.527;-0.854;0.464;-0.834;0.432;-0.685;0.407
1833;8;-0.708;0.721;-0.718;0.563;-0.853;0.456;-0.835;0.434;-0.684;0.408
1833;9;-0.928;0.887;-0.592;0.548;-0.840;0.454;-0.826;0.437;-0.682;0.408
1833;10;-1.304;0.911;-0.566;0.580;-0.850;0.457;-0.826;0.434;-0.678;0.409
1833;11;0.633;1.247;-0.512;0.592;-0.865;0.461;-0.830;0.434;-0.677;0.409
1833;12;-0.342;1.604;-0.531;0.581;-0.874;0.467;-0.826;0.437;-0.670;0.409
1834;1;-2.140;1.787;-0.502;0.596;-0.875;0.468;-0.820;0.438;-0.674;0.408
1834;2;-0.419;1.438;-0.493;0.605;-0.868;0.466;-0.803;0.437;-0.676;0.408
1834;3;0.445;1.151;-0.468;0.630;-0.857;0.461;-0.821;0.438;-0.679;0.406
1834;4;-0.262;1.114;-0.416;0.653;-0.842;0.460;-0.819;0.440;-0.683;0.404
1834;5;0.012;0.869;-0.428;0.623;-0.851;0.454;-0.827;0.436;-0.689;0.403
1834;6;-0.634;0.694;-0.439;0.570;-0.837;0.458;-0.826;0.435;-0.691;0.402
1834;7;-0.372;0.906;-0.213;0.578;-0.831;0.462;-0.823;0.433;-0.694;0.401
1834;8;-0.598;0.789;-0.184;0.586;-0.815;0.469;-0.816;0.432;-0.695;0.402
1834;9;-0.630;1.045;-0.299;0.588;-0.831;0.471;-0.813;0.434;-0.698;0.403
1834;10;-0.673;0.846;-0.328;0.598;-0.859;0.473;-0.815;0.437;-0.695;0.402
1834;11;0.486;1.010;-0.417;0.615;-0.875;0.473;-0.823;0.442;-0.699;0.401
1834;12;-0.474;1.190;-0.479;0.615;-0.883;0.472;-0.835;0.453;-0.710;0.401
1835;1;0.571;1.899;-0.571;0.636;-0.889;0.455;-0.837;0.452;-0.710;0.398
1835;2;-0.073;1.795;-0.663;0.648;-0.875;0.453;-0.852;0.449;-0.716;0.398
1835;3;-0.934;1.073;-0.783;0.626;-0.868;0.445;-0.857;0.453;-0.718;0.397
1835;4;-0.604;1.115;-0.843;0.609;-0.882;0.444;-0.864;0.450;-0.722;0.395
1835;5;-1.063;1.042;-1.050;0.611;-0.879;0.453;-0.856;0.448;-0.725;0.394
1835;6;-1.370;0.895;-1.186;0.671;-0.857;0.451;-0.852;0.444;-0.728;0.392
1835;7;-1.483;1.123;-1.274;0.702;-0.902;0.460;-0.853;0.441;-0.725;0.393
1835;8;-1.700;0.883;-1.310;0.645;-0.921;0.468;-0.856;0.440;-0.723;0.392
1835;9;-2.068;0.713;-1.229;0.645;-0.931;0.485;-0.852;0.438;-0.722;0.392
1835;10;-1.394;0.960;-1.275;0.634;-0.937;0.493;-0.857;0.435;-0.724;0.391
1835;11;-2.003;1.454;-1.288;0.625;-0.950;0.491;-0.886;0.433;-0.727;0.393
1835;12;-2.100;1.709;-1.254;0.621;-0.954;0.486;-0.907;0.430;-0.732;0.393
1836;1;-0.486;1.660;-1.207;0.591;-0.944;0.480;-0.920;0.430;-0.726;0.396
1836;2;-0.502;1.280;-1.161;0.610;-0.939;0.481;-0.918;0.430;-0.718;0.392
1836;3;0.032;1.057;-1.097;0.592;-0.939;0.483;-0.929;0.433;-0.711;0.390
1836;4;-1.153;1.336;-1.013;0.596;-0.926;0.472;-0.938;0.433;-0.715;0.389
1836;5;-1.218;1.117;-1.019;0.588;-0.951;0.465;-0.941;0.434;-0.718;0.387
1836;6;-0.958;0.899;-0.882;0.568;-0.959;0.459;-0.943;0.434;-0.718;0.384
1836;7;-0.920;0.738;-0.850;0.597;-0.925;0.463;-0.935;0.432;-0.716;0.382
1836;8;-1.149;1.359;-0.843;0.655;-0.909;0.466;-0.925;0.431;-0.713;0.382
1836;9;-1.297;1.077;-0.969;0.651;-0.960;0.475;-0.920;0.430;-0.710;0.382
1836;10;-0.395;1.138;-1.051;0.619;-0.963;0.476;-0.913;0.430;-0.712;0.382
1836;11;-2.070;1.396;-1.091;0.606;-0.978;0.477;-0.913;0.426;-0.718;0.380
1836;12;-0.451;1.111;-1.122;0.609;-0.980;0.480;-0.911;0.427;-0.723;0.378
1837;1;-0.113;1.863;-1.134;0.607;-0.972;0.475;-0.913;0.431;-0.726;0.374
1837;2;-0.415;1.874;-1.106;0.597;-0.958;0.479;-0.903;0.432;-0.727;0.371
1837;3;-1.482;1.403;-1.102;0.604;-0.966;0.482;-0.895;0.434;-0.735;0.367
1837;4;-2.129;0.930;-1.196;0.644;-0.971;0.487;-0.893;0.435;-0.741;0.364
1837;5;-1.702;1.619;-1.164;0.647;-1.012;0.493;-0.894;0.435;-0.746;0.362
1837;6;-1.335;0.928;-1.218;0.651;-1.041;0.503;-0.894;0.435;-0.749;0.361
1837;7;-1.057;0.783;-1.463;0.704;-1.044;0.495;-0.895;0.431;-0.752;0.361
1837;8;-0.819;1.018;-1.551;0.707;-1.058;0.487;-0.888;0.428;-0.753;0.361
1837;9;-1.241;0.614;-1.567;0.770;-1.064;0.497;-0.884;0.428;-0.753;0.362
1837;10;-1.522;1.085;-1.468;0.795;-1.062;0.492;-0.886;0.429;-0.753;0.363
1837;11;-1.692;1.300;-1.441;0.739;-1.047;0.485;-0.881;0.429;-0.755;0.364
1837;12;-1.095;1.423;-1.386;0.736;-1.028;0.483;-0.858;0.425;-0.762;0.365
1838;1;-3.056;2.019;-1.306;0.715;-1.000;0.470;-0.850;0.423;-0.763;0.367
1838;2;-1.468;1.482;-1.270;0.693;-0.987;0.468;-0.840;0.422;-0.756;0.367
